word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
gentlemen,0.000040477636,0,0,0,0,0,0,0,0,0,0.0013349155,0.00016726137,0,0
congress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
session,0.00040477636,0,0,0.00070337621,0,0.0037949965,0,0,0,0,0,0,0,0
which,0,0,0,0,0,0,0,0,0,0,0,0,0,0
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,0,0,0,0,0,0,0,0,0,0,0,0,0,0
now,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entering,0,0,0,0.00025120579,0,0,0.00024256537,0,0.00051851852,0,0,0,0,0
will,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be,0,0,0,0,0,0,0,0,0,0,0,0,0,0
closing,0,0.00046800047,0.00020473623,0.00025120579,0,0,0.00033959152,0,0,0,0,0,0,0
sixty-third,0.000080955272,0,0,0,0,0,0,0,0,0,0,0,0,0
venture,0.00020238818,0,0,0,0,0,0,0,0,0,0,0,0,0.00050327126
say,0.0014167173,0.0084825085,0,0.0046724277,0,0,0,0,0,0,0,0,0,0
long,0.00076907509,0.0025155025,0,0.0027130225,0,0.00099480491,0.0015524184,0.0015977631,0,0,0.0040047464,0.0015611062,0,0.0021137393
remembered,0,0,0,0.00050241158,0.00025079942,0,0,0,0,0,0,0,0,0
for,0,0,0,0,0,0,0,0,0,0,0,0,0,0
great,0,0,0,0,0,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,0.00099480491,0,0.00014979029,0.00081481481,0,0,0,0,0
thoughtful,0.00056668691,0,0,0,0,0,0,0,0,0,0,0,0,0
constructive,0.00080955272,0,0,0,0,0,0,0,0,0,0,0.002397413,0,0
work,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it,0,0,0,0,0,0,0,0,0,0,0,0,0,0
has,0,0,0,0,0,0,0,0,0,0,0,0,0,0
done,0.0028334345,0.0016380016,0,0.0021603698,0.0020063954,0,0,0,0,0,0,0,0,0.0013085053
loyal,0,0,0,0.00030144695,0,0,0,0,0,0,0,0,0,0.00015098138
response,0,0,0.0013649082,0.00085409968,0,0,0,0,0,0,0,0,0.00080391237,0
thought,0.0019834042,0.00064350064,0,0,0,0,0,0,0,0,0,0,0,0.0010568697
needs,0,0,0,0,0,0.0040529089,0,0.0026962253,0,0.0042704053,0,0,0.0044885108,0.0023653749
country,0.0097146327,0.0054405054,0,0.0055265273,0,0.0016580082,0.0043661767,0,0.004962963,0.0026589316,0.0047463661,0,0,0.0047307499
should,0,0,0,0,0,0,0,0,0,0,0,0,0,0
like,0.0029143898,0.0041535042,0,0.0024618167,0,0,0,0.00059916117,0,0,0.0028181549,0,0,0
this,0,0,0,0,0,0,0,0,0,0,0,0,0,0
address,0.00040477636,0,0,0.0014569936,0,0,0,0.00034951069,0.0017777778,0,0,0,0.00066992698,0.00015098138
review,0,0,0,0,0.00037619913,0.0016948528,0,0,0,0,0,0,0,0
notable,0.00040477636,0,0,0,0,0,0.00029107845,0,0,0,0.00007416197,0,0,0
record,0,0,0,0.0010048232,0,0,0.0010187746,0.0019472738,0,0,0,0.00078055308,0.0014068467,0
try,0,0,0,0.0011053055,0,0,0,0,0.0011851852,0,0.0010382676,0,0,0
make,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adequate,0.00020238818,0,0,0,0,0.0023580561,0.0017464707,0,0,0.0033035211,0.00029664788,0,0.0012058686,0
assessment,0,0,0,0,0,0.00029475701,0,0,0,0,0,0,0,0
but,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doubt,0.00097146327,0,0,0.00045217042,0,0,0,0.00044937088,0,0,0.0011124295,0,0,0
stand,0,0.0011700012,0,0.0025120579,0,0,0,0,0,0,0.0045980421,0.0012265834,0,0
too,0,0.0028080028,0,0.0037680868,0,0.00022106776,0.0026682191,0.003045736,0,0,0,0,0,0.0020634122
near,0,0,0.00054596328,0,0,0,0,0,0,0.00048344211,0,0.0006132917,0.00033496349,0.00060392552
that,0,0,0,0,0,0,0,0,0,0,0,0,0,0
been,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ourselves,0.0017000607,0,0,0.0012560289,0,0,0,0,0,0,0,0.0020628903,0,0.003975843
much,0.0046144505,0.00099450099,0.00054596328,0.0028135048,0.0028841934,0,0,0.0017475534,0,0.0041092579,0,0,0.00073691968,0.0019627579
part,0.0040477636,0.0021060021,0.0019791169,0,0.0033230924,0,0.00097026149,0,0,0.0020949158,0.00014832394,0.0039027654,0.000066992698,0.0012581782
play,0.00024286582,0,0,0,0,0,0,0,0,0,0,0.0014495986,0,0.00085556115
historians,0,0,0,0.00010048232,0,0,0,0,0,0,0,0,0,0
toward,0,0,0.0017061353,0.0011555466,0,0.00062635865,0.0014068792,0.0012981825,0,0,0,0.006132917,0.00046894888,0.0027679919
program,0,0,0,0,0.0063953853,0.0091006227,0.0010187746,0.0042440583,0.0022962963,0,0,0,0.012795605,0
legislation,0.00222627,0,0,0,0,0.013079842,0,0,0.0045185185,0,0,0,0.00080391237,0
with,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regard,0.0025500911,0.000058500059,0,0,0,0,0,0,0,0,0,0.0006690455,0,0
regulation,0,0,0,0,0,0.0015843189,0,0.00049930098,0,0,0,0,0,0
business,0.0025500911,0,0,0,0,0,0.012176782,0.0027461554,0.0017037037,0,0,0,0,0
is,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virtually,0,0,0,0,0,0,0,0.00049930098,0,0,0,0,0.00026797079,0
complete,0.0016191054,0,0.00040947246,0,0,0.00099480491,0,0.00099860196,0,0,0,0,0,0.00030196276
put,0.0014571949,0.002047502,0,0.001909164,0,0,0,0.0023467146,0.00014814815,0.0024172105,0,0,0.0014738394,0
forth,0,0,0,0.0010048232,0,0.00022106776,0,0,0,0,0,0,0,0
as,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intended,0.00052620927,0,0,0,0,0,0,0.00014979029,0,0,0,0,0,0
whole,0.0027120016,0,0,0,0,0.00073689252,0.0023771406,0,0,0,0.0018540492,0.0014495986,0,0.0015601409
leaves,0,0,0,0,0.00018809957,0,0.00024256537,0.00019972039,0,0,0,0,0,0
conjecture,0,0,0,0.000050241158,0,0,0,0,0.000074074074,0,0,0,0,0
what,0,0,0,0,0,0,0,0,0,0,0,0,0,0
follow,0,0.00040950041,0.00075069952,0.00055265273,0,0,0,0,0,0,0.00022248591,0.001338091,0.000066992698,0
road,0,0.0016965017,0,0.0010048232,0,0,0,0,0,0.00088631053,0,0,0,0
at,0,0,0,0,0,0,0,0,0,0,0,0,0,0
last,0,0,0,0,0,0,0,0,0,0,0,0,0,0
